
2020-02-26 11:13:44.218449	{'message_id': 1116, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695792, 'text': 'Hi'}
2020-02-26 11:14:25.230471	{'message_id': 1118, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582695833, 'text': 'How will I get delivery'}
2020-02-26 11:18:36.204566	{'message_id': 1120, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696084, 'text': 'Hi'}
2020-02-26 11:18:47.692335	{'message_id': 1122, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696095, 'text': 'How will I get delivery'}
2020-02-26 11:20:53.130596	{'message_id': 1124, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696221, 'text': 'Hi'}
2020-02-26 11:21:05.129245	{'message_id': 1126, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696233, 'text': 'How will I get delivery'}
2020-02-26 11:21:50.740173	{'message_id': 1128, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696278, 'text': 'Hi'}
2020-02-26 11:24:16.635840	{'message_id': 1130, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696424, 'text': 'Hi'}
2020-02-26 11:24:21.632641	{'message_id': 1132, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696429, 'text': 'How will I get delivery'}
2020-02-26 11:24:24.438377	{'message_id': 1134, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696432, 'text': 'Ok'}
2020-02-26 11:24:33.115638	{'message_id': 1136, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696441, 'text': 'Do you have shirts'}
2020-02-26 11:28:10.565825	{'message_id': 1138, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696658, 'text': 'Hi'}
2020-02-26 11:28:14.601576	{'message_id': 1140, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696662, 'text': 'How will I get delivery'}
2020-02-26 11:28:21.610332	{'message_id': 1142, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696669, 'text': 'Do you have shirts'}
2020-02-26 11:28:27.831992	{'message_id': 1144, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696675, 'text': 'Ok'}
2020-02-26 11:28:57.598339	{'message_id': 1146, 'from': {'id': 907457149, 'is_bot': False, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'language_code': 'en'}, 'chat': {'id': 907457149, 'first_name': 'Madhusuthanan', 'last_name': 'Manivannan', 'type': 'private'}, 'date': 1582696703, 'text': 'I want to buy lipstick'}
